episode,timestep,reward
6,1000,-5.7684
13,2000,-5.8217
20,3000,-6.3586
25,4000,-6.2548
31,5000,-6.2691
37,6000,-6.2453
43,7000,-6.5273
49,8000,-5.7883
55,9000,-6.1186
61,10000,-6.1046
67,11000,-6.3846
74,12000,-6.0738
79,13000,-6.2926
87,14000,-5.8222
94,15000,-5.9036
100,16000,-5.8613
106,17000,-5.9649
112,18000,-6.2234
119,19000,-6.396
124,20000,-6.2821
131,21000,-6.2745
137,22000,-5.9572
145,23000,-5.6489
151,24000,-5.7544
157,25000,-6.7987
164,26000,-5.657
170,27000,-6.1578
176,28000,-6.2352
182,29000,-6.767
188,30000,-6.2676
196,31000,-5.548
203,32000,-5.6457
210,33000,-5.8383
216,34000,-5.9445
223,35000,-5.997
229,36000,-6.2135
235,37000,-5.7415
241,38000,-6.4991
247,39000,-5.8081
254,40000,-6.105
260,41000,-5.9198
267,42000,-5.5037
273,43000,-5.7154
279,44000,-6.0701
287,45000,-5.6733
292,46000,-3.9506
298,47000,-6.1881
304,48000,-5.9215
310,49000,-6.0871
316,50000,-6.1281
321,51000,-7.313
325,52000,-5.9608
331,53000,-6.3808
337,54000,-6.1327
343,55000,-6.0152
349,56000,-6.2082
354,57000,-6.2046
359,58000,-6.4539
363,59000,-6.3385
369,60000,-6.5583
376,61000,-5.6737
382,62000,-6.1106
387,63000,-4.694
393,64000,-5.4426
398,65000,-7.1207
403,66000,-5.8993
409,67000,-5.928
414,68000,-6.579
419,69000,-7.0507
425,70000,-5.9821
429,71000,-4.3915
434,72000,-7.7589
439,73000,-6.9426
445,74000,-6.328
450,75000,-5.9015
455,76000,-6.6171
461,77000,-6.0548
467,78000,-6.7258
472,79000,-6.7187
477,80000,-5.709
482,81000,-6.2441
487,82000,-7.0588
493,83000,-5.8746
498,84000,-6.5269
503,85000,-6.3175
507,86000,-6.151
513,87000,-6.6094
518,88000,-6.2779
524,89000,-6.3545
529,90000,-5.8711
534,91000,-6.2893
539,92000,-6.3959
544,93000,-6.7497
549,94000,-6.2776
555,95000,-5.8532
561,96000,-6.0377
566,97000,-5.601
571,98000,-5.167
576,99000,-6.017
581,100000,-6.5768
587,101000,-6.0019
593,102000,-6.1852
599,103000,-6.1959
604,104000,-6.6059
610,105000,-6.6246
615,106000,-6.1101
620,107000,-5.574
624,108000,-5.8308
629,109000,-6.1619
634,110000,-5.7186
639,111000,-6.1039
644,112000,-6.4056
649,113000,-6.483
654,114000,-6.0464
659,115000,-6.9179
664,116000,-6.2246
669,117000,-6.5294
674,118000,-6.5283
680,119000,-6.0634
684,120000,-5.573
690,121000,-6.5271
695,122000,-5.86
700,123000,-6.3422
704,124000,-5.9987
709,125000,-5.9625
714,126000,-5.3845
719,127000,-6.4204
725,128000,-5.8043
730,129000,-5.7584
735,130000,-6.3169
740,131000,-6.5262
746,132000,-6.2535
751,133000,-6.7095
757,134000,-5.9942
762,135000,-6.4856
768,136000,-6.3534
774,137000,-6.1016
779,138000,-6.4821
785,139000,-5.9835
789,140000,-6.6024
796,141000,-5.8517
802,142000,-5.9533
807,143000,-6.4894
813,144000,-5.9637
818,145000,-6.2167
823,146000,-6.5738
828,147000,-7.5748
833,148000,-6.6115
838,149000,-6.0462
843,150000,-6.649
848,151000,-6.4509
853,152000,-5.0487
858,153000,-6.0185
863,154000,-6.6314
868,155000,-6.8726
873,156000,-6.4186
878,157000,-5.8259
883,158000,-7.378
888,159000,-5.8063
892,160000,-7.3603
897,161000,-5.6917
902,162000,-6.767
907,163000,-6.5297
912,164000,-6.898
918,165000,-4.6729
923,166000,-5.5912
928,167000,-4.8561
933,168000,-6.14
938,169000,-5.4721
943,170000,-5.9754
949,171000,-4.9496
954,172000,-5.0506
959,173000,-5.5413
963,174000,-4.0549
968,175000,-5.4574
974,176000,-5.7947
980,177000,-6.2049
985,178000,-5.0091
991,179000,-5.6095
996,180000,-6.3593
1001,181000,-5.9678
1006,182000,-5.7666
1011,183000,-4.346
1018,184000,-5.5832
1023,185000,-5.2122
1027,186000,-5.1956
1032,187000,-5.5806
1037,188000,-5.6038
1042,189000,-5.7211
1047,190000,-6.3682
1051,191000,-4.6827
1056,192000,-4.4508
1060,193000,-5.052
1065,194000,-5.3782
1069,195000,-4.8815
1074,196000,-4.1819
1078,197000,-6.2012
1083,198000,-4.0135
1088,199000,-5.8396
1094,200000,-5.5815
1099,201000,-4.6595
1104,202000,-4.6697
1108,203000,-5.4922
1113,204000,-4.2931
1118,205000,-5.6812
1124,206000,-5.5849
1128,207000,-3.6405
1133,208000,-3.3469
1138,209000,-5.5737
1143,210000,-5.9402
1148,211000,-4.4719
1152,212000,-6.1107
1158,213000,-5.1866
1163,214000,-4.2924
1167,215000,-5.3117
1172,216000,-5.2105
1177,217000,-5.0303
1182,218000,-6.2525
1186,219000,-4.9089
1190,220000,-3.7069
1196,221000,-4.4766
1200,222000,-5.2183
1205,223000,-5.5383
1211,224000,-5.4232
1215,225000,-3.9957
1219,226000,-6.373
1224,227000,-5.9405
1228,228000,-4.7443
1233,229000,-5.6636
1237,230000,-4.8352
1242,231000,-4.1157
1246,232000,-5.9216
1251,233000,-5.4043
1255,234000,-5.7841
1260,235000,-6.3154
1265,236000,-5.7458
1269,237000,-4.9377
1274,238000,-6.232
1279,239000,-4.3041
1283,240000,-4.2996
1288,241000,-5.4294
1292,242000,-3.3794
1296,243000,-5.3863
1301,244000,-5.222
